sentence1,label
Akhon kew jodi vai murgi marka vlog dekhe apnar video dekhe to tara to bolbei,2
Background music er jonno kono kothai bujha jay na biroktikor,1
89k budget kemne hoy?,2
cokh lagai disi pat kharap kobo...,1
Please vaai please we are not interested vaai please.... Hagu marka video amra dekhte chai naa vaaai pleaseeeeee!,1
Amr friend agei blsilo apndr suggestion common pore na. Ami suni nai tao porsilm akhn bash kheye gechii,1
Vai apnara je game gula kheken pc te agula sob gulai kina na kono site theke free paoya jay,2
Vai jodi lock tar server hack kore ney tokhon ki hbe,2
Pan er colour er satha match kora dress. You are so jossss apu.,0
Vy kostto pailam na kisu kuno din,1
Apnader sathe jogajoger maddhom ki?,2
Vaiya power banck niea akta vidos dan 1000taka vitor,2
"Dada. Chinise khabar ora aijina moto use kore ki na ektu jane bolben ei ajina mto biser poison soman er test er janno use kore, please jane jodi vedio gulo te bolben",2
amra deso new kuno vaccine ar na moderna So ager ja aise oi gula porikkito kuno pblm nai Amra a niye voy pawar kisu nai,0
Bhai global version launch hobe kobe?,2
Sir ssc 2024 er jonno ekta guideline den please,2
"Amare diye den. Ami bade sobai walton re troll kore. Sutorang, shorto mote phone ta pawar ekmatro jogho dabidar ami",3
Thanks vaiya common paichi 90,0
Its fake. Orginal in chuknagar khulna,1
Ami roshid er bon ke biye korte chai,2
Jak akhon theke bola jabe pcb bd regular video upload dy,0
"Apu thumbnail quality update korar try koren , khub cheap lage, apnar content khub sundor 3",0
Archer chara england osustho,1
Vai mi 27nf er ekta full review anen nayoutube a ai monitor er valo kono review naiplz anen vai,2
Kub darun video sam bhai,0
"Heart broken news for rendian, sriloankan, and afguuu fans",1
Adim kaler shob mix ai gula ekdom e bhalo laglona,1
Bhai apni mone hoy niyot kore rakhsen j ei koakdin shantite ghum parte diben na,1
Solar deye kivabe berate deye mini light fan chalabo amon video dan,2
Jaak ajke valoy lagtasee,0
Vayia pdf ta toh pelam na,2
"Vaiya,sticker gulo kothai pabo?",2
Monitor use kora jabe?,2
Charger gulo valo lagse,0
Vai router update dity giya nosto hoiya gace tenda f6. Please bai ekta video diben update niya,1
Vai apnar camera stand ar price ta aktu bolen plz r kotha theke kincrn plz plz plz,2
Apu tmi swiss bakery te jeo bcz oder sandwich ta 100 tkr niche even onk yummy,0
Onek din por abar tomar vedio delhlam. Khub valo laglo agermoto,0
Lava agni 2 er processor hocche mediatek dimensity 7050,2
Ee sob manus der ene ke please kolong kito korben na. Eigula sesra bostir pola pan der jonno blog kore next e ore anle re unsubscribe kore dibo direct,1
Apnader channel e sound onek kom pai,1
Kono giveway tei kichu pelam na aj porjonto,1
Ami onek gulote ongsogrohon korechi but kono love hoyni,1
Bro plz reply pixel 7 naki nothing 2 er jonno w8 korbo?,2
Vaia ami aktu ami apnar shate akta juruliy akta kotha bolte chai pliz,3
shuvo kamona roilo vai 3 million deri nai vai inshaallahlove you from dhaka,0
Bhai 5600g processor sathe b550 motherboard jai na karon 5600g o 5700g gen 4 support kore na tai b550 motherboard kena ta bokami amar mone hoy,2
Vaccine dewar por aisob khobor,2
Dhur miya voy paiya gechilam 300,1
Sam bhai redmi 12 er review jokhon korben tokhon aktu bole diyen konta bhalo hobe redmi 12 naki redmi note 12 4g8128,2
Pdf download hocchey na iktu help koran,3
Ashik vai ar vedio manai notun kichu,0
"Walton valoi korteche, kom takay valo jinis chaile deshio ponnor kono tuona nai",0
10k er case a gpu clearance matro 240? seriously? valo kore check kore dekhsen tw?,2
Tawhid hridoy banglar virat kohli,0
Ft team ke onak donnobad,0
Khub chill e acho dekhi,0
Low budget dslr camera review chai.,2
Sir kivabe pdf ta pabo bujtaci na aktu bujai dile valo hoto,2
Massallah Ato sundor lagtese j kicu bolar nei Apnar hasi dekhlei mon vlo hoye jai,0
Hp ex900 plus 256gb m. 2 pcie nvme internal ssd er review den plz,2
"4000 takay talos e3 te 7ta cable tie diyece, 26k te to at least 40 ta daoa uchit",2
Apnader dorkar chilo akta solid unit collect kore fault unit er pasha pashi compare kora ! dhakai onek dokanei kinto phone chole asche! ai phone samsung r oneplus ke bhaloi competition dicche spec wise! apnara fault unit diye declare kore dilen average phone!,1
Semzon vai o charchr video,3
Sound quality khubi kharap,1
"Bhai , studio te ekta ac lagan",2
Ami video ta pura dekhtei pari nai,3
Sundor lagtase akhon,0
Walton phone temon ekta valo na,1
Bhaiya feni thke dekhtsi onk bhlo lgse clss ta. Cumilla board thke qs khub hard chilo. Bshi bhlo hoy nai xm but bangla 2nd ppr niye confidence peyechi thank you,2
Next episode kobe diben,2
Apu tumar video onak sundor hoi,0
Keco kono den paynay hmmm,1
Naika bachate maramari,1
Apu apnake onk vallage,0
Zaman bhai shoutout plz,2
Vai forsage niya akta review dan,2
1534 khub cutwwww biraal tah,0
0029 math lover hisebe prothomei wp te chock porlo i 3 u,2
Core i3 10100 er shate shorbuccoh kon gpu use korte parbo?,2
Honor ar ban khuai uchit muslim der upor nirjaton a tk dilay ai rkm e houa uchit,1
Kapshi vai sera kajon gamer bd te vai ke abr back korar jonno onurod janai pls kapshi vai,0
Eto manusher vireo amr chokh tomar dikei age porse,0
Vaiyah onek kharap hoice,1
ministry of education ki korlo student der jonno kano tara vaccine ditay parlo na,1
Waiter er opor crush khaisi bhi,0
Faiza apu tmi radoni radimisk diya ranna korso,2
Khudalagse ar video ami oder food review dekhar jonno dekhi na resturent r jaiga chinar jonno dekhi kron ora vhlo jaigai jai bt food review 1dom e vhlo dey na jeta shotti kotha!,3
Action er jonno nisidho jeno na hoi,2
Apuuu baily road gela bolla na keno amder age,2
"Daraz theke 10k akta pc kinen and review den ,",2
Camera spec bolar smoy mone hoise news reading,1
Download hocc na kno vaia,1
Ajke ami 1st comment korte pari nai,0
Infinix valo kaz kortece,0
Japanese prai 52 percentage people tader 1st dose diya dise r ei shipment Tara Spain theke nisilo oita e just technically fault paise tai Tara vaccine ghula use korbena bole janiye dise hiseb simple japanira age o moderna use korse ekhn o korbe but jeighular quality Valo oighula e korbe,0
Ryzen 5 5600 ar price ta bolle valo hoto with pc,2
432 12 core ey 8pcore 8ecore kemne hoy 88 ki ekhono 16 hoy naki math change hoise onekdin math kori na to 5 23 likhay asey ssd slot 2ta ar vai boltesen 1ta,3
Ore batpar hingsa kore,1
Kichu din agee kheyechi ei puri,2
Amoled ar quality ta bollen na,2
"Amake sobcheye valo lagse farooqi k 36 run neoate,khub vab dekhacchilo",0
Asalamu ali kum 10 minutes school alhamdulilah bangla onek vlo hoyce thank you comilla brod luxmepur,0
Matro 155 run target face korta ei obostha hoi. Sakib ki batting korla ata. Captain hoi perfrom kora ato soja na. Akhn sakib ka nia to kono kotha hoba karon mirpur king sakib ja,3
"Vai rply dile upokrito hobe video te bollen, arc a380 1617k te gtx1650 18k er ase pase pawa jacche. Question holo which one is better or value for money ? arc a380 naki gtx 1650?",2
Kisu bolar nai vai ami to win hoyte parbo na ami jani,2
Shariful k aber dektey chai,2
Aita thaka 10 c ta onk bashi valo,1
"Alhamdulillah,giyeway ayojon korar jonne onk dhonnobad vaiya,jaihok amader comment kari ar modde je kono akjon fone ta tw pabo aita sune onk kusi lagtece,ar modde amoi participate korlam,tiktok a follow korci r sob sese answer holo lava agni 2 te mediatak 7050 prosesor dewa ace",0
Free te dileo nibo na,1
"Bhai eto boro bottom chin niye oppo kivabe 33k price e mobile set ane. Dhandabaji customer er sathe. 100 mp ekta vogus chara r kichu na, ki poriman stupid company hoile 30k plus price er ekta mobile e ultrawide dey na. R bhai apni vabe eirokom faltu ekta device recommend koren? apnara o doya kore review kora shiken indian youtuber der kache",1
Onk common porse ajk exam onk vlo hoise,0
Video editor r mistake ache ata ki iccah kirto or hoiye gese ?,3
Vaiya akta giveaway jitar icsah ase but paina,3
Huawei 23. 8 etar ekta review cai?,2
Xanonx20 xtraordinaryinnovationwithin waltontonmobile samzone,0
2019 sall e hariye giyechilam onnorokom pathsala ekta abeg,3
Konta model ki bro,2
"Amar sosur bari soriyatpur,",2
Best review bro,0
Shuvo kamona roylo apu,0
Alu vaja ta sera chilo,0
Vai vs chai realme 10 ar sate,2
Poco r motherboard dead howar issue r bepar e kisu bollen na?,1
Purai 2 number,1
Cpu track korar kono way ase?,2
Please sigma 15 er review koren,2
Vai video te kivabe bangla subtitle add korbo aita nie akta video banan pls. Apnar moto subtitle add korte chai,2
Regular update thakte valo hoito,2
Majhkhan diye sadi vaiya r expression gulo shei,0
Congratulations vai  ami niomito apnar video dekhi ebong onek upokaro peachii allah bless u,0
Ami sure eisob giveaway te apnader lok chara keu phone pai na,1
"Vai amr s23ultra water e immerse korle shob thik thak chole but spen er hole er vitore water dhuke, ei ta ki normal naki problem ache?",3
Vai r kih phone kinbo. Govt bole abr tax baraise phone er upr. Vabsi r o new phone kinbo,1
Kon group e class hoy,2
Amar channel ta gurey asar jonno request korci,2
Sob kicu ace hater kachei. R bangladesh computer r bollam na,1
Amader bashar kache ashlen,0
Vaiya ami gorib manosh amare freetei diye den,2
Bai. Ami mcp ke karap korsi. 30 a 4 ta hoyse. Ami ki pass korte parmo,3
Vaiya video ta clear na buja jay na likha gula,1
Ucpc ram dile rgb deya jeto,2
"Vai, paid video gular shurute paid bola uchit. Ethics nai mone hoilo video ta dekhe. Apnar ekta baje review er jonno onek gula manusher taka nosto hobe. Middle class ei manush gular eto gulo taka nosto koraiben? vai ar kobe manush hoben?",1
Bhai aponi ato kisu bojen ata bojenna kno twenty te jokon sobai kharab khele doler run hai 120 run sekhane doler sorbocch9 run nan riyad ata ki ter dos onnora t o korte parena,3
dj afridir pashe just waw,0
Poranor somoy extra kota ektu besi bolo kn via loker comment poro besi class ta ektu vlo moto korale vlo hoy,1
Like to banta hai,0
Onek valo lage vai apnar vedio holo,0
Apumoni kafer munafak musrik der desh ta valo na ki korchen,1
Shuvo bhai shamim hasina sorkar lite,0
Im buying asus tuf f15 fx506hc rtx3050 for 101k after my ssc exam. Hows it? though i whed much reviews about it and finally going to buy it. Not only for gaming. Now tell me hows the deal?,2
Ki shundor chilo ekhon ki shundor hoisa,0
Wow bro ata amar 1st class u khob valo porata paro,0
2917 wtf! tusharbhaiii onlyfans o baki rakhlo nah,0
Kishoreganj bord always common porche thanks,0
First comment korlam vijan,2
Vai eta diye gta5 khela jabe?,2
Pc builder bangladesh ar jaman vai re dekhte cai studio te,2
Vul kore jodi sd 865 dito,3
Mashaallah vaiya Asole apnar mukhoujjol Hasi tai inspired kore dey Doya kori Ai hasi ta zeno Always e otut thake,0
Ekta anti glare arekta non glare,2
Bhaiya rochona te ki bhumika and ja ja point thake tar naam gula likhte hobe ?nki shudhu bekkha likhbo,2
"Pcbbd review diche shop owner ra price up kore dei nai, amn ta hotei pare na",1
Love u sam vai gopalgonj waltonmobail,0
Eita diye ki gta 5 pubg khela jabe? plz rply,2
Computaional pc chai in 6k budget,2
Bhai ai monitor ta graphic design er kaje ki use kora jabe,2
New episode koi bhaai? what the tec er? r kotokal,1
Vaccine ashar agei shuru,2
Watch ta pele valoi hoto,2
Aro vallo korte hobe,1
Khulna assilen age janle deka korte zetam,2
Ai mobile gulo video record jonno kakmon hobe?,2
Ata kemon kotha vi joto beshi rgb toto beshi fps!,1
"Sam vai 3 million tho hoiye jacche, akta fan meet up diye den",0
Dada suru kokhn hobe,2
Hsc special to banaien vai jate apex 90 fps e khela jai,2
Sobai ken take barobatari bolen,1
Jodi current na thake tobe jolbe please bolun,2
"Freelancing e jey poriman effort ar patience lage ta normal 9 to 5 job er cheye aro kharap! ar etate maximum manush ray patience haray fele majh pothe ar tachhara ey channel e ey video upload er maddhome student ra 24 mash shudhu shudhu eshob e time diye pore abr demotivated hoye shob chhere dibe! tader poralekhar o khoti hobe! freelancing khelna kono bishoy nh, ekhane jake dekha jacche takey jiggesh kora uchit freelancing er karone tar studies er upor ki poriman effect porechilo ar porte pare 3",3
Ami ki onno video dekhsilam j 5 ta matro common porse paribhashik,1
Intel arc a750 ryzen 5 5600 gigabyte b450m kmn hbe?,2
"On of the best youtuber, love you bro. ",0
Shakib world allrounder king,0
Nvidia trillion dollar company kobe holo?,2
International price ta bolle onk vlo hoto,2
Sir akhono ki course a vorti howya jabe ?,2
Ami full bundle course kormu,2
Dui bong k aksathe dekhte chai,2
Amar faridpur always miss,1
Energy ta aktu kom laglo sir. Asol subhro banerjee ke dekhte pelm na. Oi hasi ta miss krlm,1
1st light sobcheye baje 5 min backup dey ojothay taka nosto korben na kew,1
Sadi bhia thak mon kharap koiro nh aske harso to ki hoise akdin jitba inshallah r tmi to sale ranna j korte parso ati to onek ami to tao pari nh r faiza apu to mea manush so or rtaa valo hobe etaii savabhik so tmk santona dite comment a aslam cause bissas koro ami hoile eto tukuo partam nh r ami kno onek meo o ata parbe nh amr mone hoy. So chill dont worry we are with you,3
Bangla 1st part mcq 26 common alhamdulillah,0
Ayman sadiq re chai guest hisebe,2
My god! tumi akdom amader barir kache. Hotel ta praye sara raat khola thake. Punjabi dishes gulo daruun. Aajker content ta amar kache amazing,0
Apu hijab tutorial ta dekhan,0
Kalke apnader bangla class kore onk que coomon chilo,0
Ho vai aita kina ami tiktok video edit kormu,0
hmmm sobai aivabe sobar movie ke support korla bangla senima abar pran fire pabe,0
Honor 90 pro ar ekta review diben please bhaiya,2
fake acting ta abar ektu dekh.,1
Dada apnr review gula onk joss hoy. Ami ariyan apnr shob video dekhi 2. 5 years dhore.,0
Bhaiya na buet er teacher hoise,2
Thanks onnorokom pathsala for coming back,0
Ei rokom video aroo cai,0
2 bong er dhong dekhbo,2
"Huawei nova 3i,may 2019 theke use kortece, battery backup kom paschi but still useable,i am 100 satisfied",0
Ajibon video dekhey galam,1
Apu dress ta kotha theke naua bolen please,2
Jara 10 minute teke pore jao tader ke bolci vai bad daw akhan teke kono comon pore na,1
Bd te processor er price onk reasonable holeo motherboard er pricing gula ektu high. Motherboard er price khub ekta reasonable mone hoina,3
ata kotai vai sundar place,0
Realme r copy mone hocche,1
Vai amare bish den 454,1
Apu amar gramer bari sariatpur,2
"Vai, redmi 11 prime na ki, infinix hot 30 konta obarol balo hobe",2
Vai video ta onk valo lagse,0
Vaia amar mcq 25 ta hoyeche,0
Ba bah. Toke sundor lagtese,0
World cup bangladesh akta match o jetta parba na,1
Rony talukder amar baler batsman. Bat o dorte pare na,1
Apu bhorta khawar time e apnar reac deikha bhorta khaite mon chaia gelo,0
Vai bangladesh e kobe official pawaa jabe,2
lockdown choluk tar por tika deowa suru kora hok keu pabena ei tika,1
Infinix note 30 review kobe asbe ?,2
Graphics card buying guide chai bhai,2
Iphone o scam krse pubg 90 fps but dey 80 fps! vabse kew dhorte prbe nh,1
Eta realme c3 teo ase,2
Bypass charging ki eta bollen na review aro niqut chi,1
Funfact faiza apu ato khaoya khai but muta houyar kuno chance ee nai,3
Vi kisu budzet stand revew koren,2
5k diye dileu nibona,1
Vaiya apur proti ei supportive monovab ta amar onek Valo lage. Apnader dujonke eksathe amar onek Valo lage.,0
"Pcb er kash theke aro valo review paowa jaito. Apnader ja review ta normal person rai jane jara pc chalay, ar ei price e laptop best , screen and battery soho",1
"Sadi vai ki colour grading ta onnovbe korsen? ei video te colour gula ektu over saturated lagtese. But overall,content was topnotch",0
May allah bless you. Koto diner tour apu?,2
Tusar vai onek valo laglo asker video,0
Sotty khub priyo chancel ekdom deferent ta na hole ekhon banglai food blogger ektai contact biriyani r biriyani ek matro eni achen je deferent kichu try korchen ekdom dadar bhashai onoboddo uposthapona,0
Not bad. Ontoto tecnor theke valoase i like this phone,3
Apu amr basa joron,2
Shamim vai shamner theke piche beshi khele,1
Vai lava agni 2 er giveway last date kobe,2
Vaiya amar phone er name redmi 10c but phone ram 4 gb tarpor o 6 gb ram show kore kn? bolte parbn,2
Kisui mile nai fast paper a,1
Vaiya apnar full name ki,2
"800 taka diye 2. 5 years agey kini,ekhono cholse",2
Nafiz bhaiya kintu khubi joss nafiz bhaiya ke beshi beshi vloga nio,0
Multiplan e to ekhn elecetricity lift generator kisui nai ektu age ghure ashlam xd,1
Full review dkhte caii vaiya,2
Khub valo laglo vlog ta,0
Vai bangladesh price koto hoba bola dan please ame new phone nebo,2
Soo happy j faridpur a asso,0
Sam vaiyer proti ta video ami dekhi onek valo hoi phone review kintu premium phone review dekhte hole atc tushar vai youtube channel a jete hobe,3
Apo amar bari oo shoridpor,2
Apu apner video ank vlo laga,0
Eitar full review koten onek lomba somoy niye koren. Erokom interesting jinish er short video valo lage na. Pls eita niye boro video banan,2
Infinix gt 10 pro er review cai,2
Power hungry haoyar karone current bill besi kai,1
Vai laptop er jonno kon processor valo,2
Cost koto porca apu total 2jon?,2
"Assalamu alaikum sir, ssc 25 ar akta kicho koren plz",2
Shirt fabrilife e kothao khuje pailam na,2
Apu amader elakay asco jani na to. Janle meet kortam onk e��ca chilo,0
er jonno kisu shuworer baccha dai Eisob kokorgola tokhon bolto deshe sob niontron. Mritto kom dekhe naki Vaccine payna,1
Assalmu alaikum apu shariatpur bhedorgonj amader bari ar tomader bari jete amader eikhan theika 40 tk lage,2
Ami sylhet ar moulvibazar take ase,2
Amr lagbe kothay pabo,2
Thanks sir class upload er jonno,0
G cam use kora jabe,2
Only 360p hoya ache ?,2
Sir lecture shit ta dile onek valo hoto,2
Vai rtx 4060ti kobe pabo amra 16 gb varient koto dam hote pare,2
Shob koyta k cartoon lagche,1
Chor jodi max pore ashe emnei bollam,2
Quantum computers niye ekta vedio chai,2
"Vi, pixel ar best model knta akta phone nita chacce",2
Rtx 3060ti diye 100k build dekhte chai,2
"Agie jak, sam vai ,desi brand amder gorvoxanonx20 xtraordinaryinnovationwithin waltonmobile samzone",0
Vai ai pc ar amar kedny ar akta deal kora ki possible ?,2
Ata diye ki barishal board a common porbe?,2
Pdf pauya jacche na,1
Ami apnar sob video daki onek vlo lage apni jodi akta 100 watt ar sub woofer ar review diten,0
10 mins school ke osongkho dhonnobad,0
Bhai apni baar baar aro ekta 5600g build er shoman bole amader songkhagorishtho middle class family polapain der koshto ek dhap kore baray ditesen,1
Rakib vai er sathe tushar vai thakbe asha korsilam,2
Yar caption english me tha video bhe english me bna deta plz,2
Videor last part ta beshi darun chilo,0
Vai fan kinlen 6 ta lagailen 5 ta pisoner non rgb fan ta khule rgb ta lagiye diten,1
Bhai honda hornet prices koto asbe deke e mon bhore jay,0
Video ta onek valo hoise. Asolei prai somoi erokom problem e pore jai onek manush. Karon jauar aga toh kau menu prices esob dekhe jai na. But jaur por jodi dekhe atto price tokhon onek somoi feshe jai. Jodi girlfriend thake tahole hoise kam. Man ijjot nia tanatani. Tokhon 100 takar niche khabar golo ordee korle man ijjot kisuta bachbe,3
Suru theke ajo sathe aci bro. 3 million er ogrim suveccha,0
Khulna theke class korsi alhamdulillah prai sob common porse,0
Voice over kono somossa hoini maje maje bhul hotei pare. Keep the good work,0
Walton manei agun,0
Dhaka board er question alhamdulillah easy chilo,0
"On of the best youtuber, love you bro. ",0
Faiza apuke jhaal beshi kore dile food ta alada akta level e chole jay apur jonno,3
Update koto your paha jabe,2
"As usual fatafati content and thanks ato honest thakar jnyoo ,mane shurutei bole dilen jeh aapnake invite kora hoyechilo, as max raai kore naa. Aar as usual honest review starting from keema pao ektu beshi heavy hoye jete pare for 2 as a starter,gravy r dish taah apnar personal fav naa halka mishti bhaab er jnyo. Biryani r piece taah tobe sottie fatafati diyechilo aar chal gulou besh jhorjhore chilogele baari ebaar try korbo",0
6gb ram ar sathe go edisation,2
Love from khagrachari  xtraordinarylnnovationwith in  samzone,0
Vai 200025000 are modda gaming fon ki vlo hobba pliz bolan,2
Ami apnar video gula regular dekhi vai ekdin video nah pale youtube valo lage nah,0
Vai bangla kih vabe lkhbo please,2
Bhai tiktok a pc na phone laga,0
Mukhe khabar niye so good boilen na oita so gu shuna jay,3
Jodi ami 3070ti nei tahole komti vram er jonno amr kotha theke performence drop khabe?,1
Pcb bd manei vinno kichu ultra level er,0
Amar sokher phone mohammadpur kheye diche,1
Dhaka bord common pore nai,1
Ki phone use korben ba korbo amar ba apnar cheder khushi,3
Ai app diye video banale monitize hobe,2
Bhai north bayou f80 er ekta review dien,2
Bai reno 6 5g ta akonkar dine 20k newa tik hobe,2
Bhai 5600g er sather rx 5500xt ki neya balo hobe naki 5600g sell diye 5600 nibo,2
Pura chobi dakhe chinlam na ata mir sabbir celo shera hoise akdom,0
Price kom thik ase kintu ei 4070 ti zotac er temperature khub e baje level er. Long time usage a warranty claim korte hobe sure,3
Bhai intel arc ki lagano uchit 47k er pc te?,2
Kmn asen vai ami kintu onk age thike apnr subscribers aci,0
"R boilo na amar xm temon bhalo hy nai, onek nervous chilam r onek hat kapte chilo 5 cqu likhte parchilam",1
Boat 450 use krtese 4 bosor joss backup dicce akono,0
Saima Afrose senovac not sinofarm R kothao toh bola hoyni vaccine jara banabe or vaccine jara dibe tader covid hobena,0
Alhamdulillah amra sobai onek khusi vai aro agiye zan pase aci insallah sob somoy thakbo,0
Bhalo laglo dada bt kichu jinish olpo beshi dam laglo r momo er dam ta abar kom btw bhalo chilo,3
Lecture sheet patsina vaiya. Lecture sheet upload korben na?,2
Valo laglo abar o dekha palam,3
Apu tomader new member ashbe naki prithibite,1
Samsung m34 tao review koiren,2
Dada sounds upgrade korun pls,2
Ata amader basar pase,2
"Amio ei bar aslam podda setu diye, gotokal ashchi apu, ami gramer bari madaripur",2
Ganji design ta khet,3
Dhaka board alhamdulillah bangla 1st 2nd onek valo hoyece,0
Dada apnar videos khub bhalo lagey apnake amader mela tee invite korte chai kibhabe contact korbo,0
Faiza appi lakhnaw blog chai,0
Onek valo laglo video ta dheka,0
Dada gift kore din,2
Ai natok ta best chilo,0
Bhaloi laglo voiceover ta,0
Apu apnare ami chodmo kotta staile,2
"Khub valo lagy apnar jokhon vedio dykhi. Karon apni khub bujiye bolyn. Akta jinis janar cilo,syta holo,apnar haty pora jy ghorita dykhailyn,sytar model r prize ta bolbyn please",2
Sir f29 er postmortem dekta chai,2
Gcam use kora jabe bhai?,2
Ayon vaiya onek din por,2
Jodi bhot dhoke jai ki korba,2
Ibrahim zada gunda of odis,1
Bhalo laglo ai show ta full dheke,0
In sha allha giveaways pabo,0
1. 35 lakhs diye eto problem wala phone keno nibe manush?,1
Vaiya amr mini ups eita onk age apnar ekhane dekhei nisilm but akhn battery backup kharap hye gese. Ekta solution den pls,1
Thank you vaia apnr class gola amr onk vlo lge,0
Tika nai deshekhali locked down ar baal,1
Bhai ager theke dam ta bole dile etto kostoh koire video ta dekhtam na,1
Inshaahallah phone ta mone hoy ami jitbo e,2
Ajker sajeson diyen vaiya,2
Ei phoner thaka realme 10 onek valo same price. Display amoled charger 33w camera er thaka onek better. Proccecor same but realmi ui onek valo etr thaka. Battry backup o valo,1
Motherhood bedesi baccha ra dhaka aisa or baper rajjo paice,1
Tawhid Afridi bro sai hoise. Love you boss,0
Apu next time faridpur ashar aga bhanga ghura jaben r janaben koba asben,2
Pdf khuje pacchi na dnld kora silo but crash hoye gese maybe open hocche na,2
Alhamdulillah amro 65k akta pc ase,0
Ei tar charger koto w er ?,2
Vai dress thik ase kintu sound aktu kom kom,3
Valobasar sam va,0
Arre dhur moshai youtube e kota shot food reviewer ache bolun to apnar moto,3
Rajshahi bord theke dekhtice,2
Bai amar lagbe jodi apnar nambar ta diten,2
"Vaiya bangla 1st er mcq er ans. Gula jodi diten,valo hoito",2
Mara khaoar line thik asa,1
2034 eka thake? eta onek ager record kora mone hoy,1
Mridha shundor onek,0
Ajk ki live korbn na? english 2nd paper niye,2
Vai tumar regular video deki.,0
Miraj khela ta ses korte parto,2
Bhai ei pc diye free fire kela jabe ?,2
"Last e gorib vai er sathe jeta hoilo, oitar jonno moteo ready chilam na",1
Lava agni 2 giveaway result kobe diben,2
Mirajer khelay sesh kore asha ucit chilo,2
Bangla class gula sundor selo and exam o valo hysa,0
Api plz best tiramisu r comparison er videos koro,0
5600g 16gb ram er sathe kon gpu perfect hobe. High or mid budget e,2
Just a opinion. Samsung pm9a1 512gb 4850bdt r moddhe akta gen 4 ssd and oitar readwrite speed o 980 pro er kacha kachi. So oita use korle kemon hobe?,2
Light jole emn kono sunglass ache naki,0
Vai tk naki kinmo na,1
Khambar moddhe rakhle chor ki bose thakbe,2
Dhaka board mcq confusing chilo but 25 ta hoyeche,3
